ISTASYON,PROJE_ADI,HAT_TURU,lat,lon
Moda,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.984062436,29.0244084241
Yusufpaşa,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0099969873,28.94712091
Şehitlik,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0341805312,28.9282569721
Ataköy - Şirinevler,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,40.9913483432,28.8460862329
Huzurevi,M4 Kadıköy - SGH Metro Hattı,Metro,40.9299434238,29.147007915
Merter Tekstil Merkezi,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0115575409,28.8807589097
Menderes,M1B Yenikapı - Kirazlı Metro Hattı,Metro,41.0427573125,28.8784918018
İstoç,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.0649978935,28.8259631805
Bağcılar Meydan,M1B Yenikapı - Kirazlı Metro Hattı,Metro,41.034514697,28.8561754626
Kartal,M4 Kadıköy - SGH Metro Hattı,Metro,40.9066447114,29.2113837621
Levent,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,41.0755084748,29.0145271463
Bulgurlu,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0163439849,29.076243829
Sirkeci,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,41.0135844923,28.9771245143
Tekstilkent - Giyimkent,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0714904542,28.8669783971
Kısıklı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0221826659,29.0620828309
Atalar,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8985880196,29.1694542075
Çağlayan,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0706569134,28.9804834482
Dudullu,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0152668658,29.1623536613
Havaalanı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,40.9795412044,28.821128321
Taksim,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0381565458,28.9856591013
Zeytinburnu,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.00148356,28.8902959262
Güneştepe,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0289932752,28.8609536978
Esenler,M1B Yenikapı - Kirazlı Metro Hattı,Metro,41.0376806403,28.8884262491
Gülsuyu,M4 Kadıköy - SGH Metro Hattı,Metro,40.9238194899,29.1546230461
Fındıkzade,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0123552716,28.9391494468
