population,neighborhood,township,neighborhood_id,latitude,longitude
13445,Tokatköy,Beykoz,40255,41.15535461872443,29.09232267709639
5234,Yalıköy,Beykoz,40252,41.141625501688914,29.0790775318581
5516,Yavuz Selim,Beykoz,40261,41.08622891514172,29.160829532296024
19200,Yeni Mahalle,Beykoz,40245,41.06802538341204,29.083710814554102
110707,Adnan Kahveci,Beylikdüzü,40869,40.9992433581036,28.628520142809442
56311,Barış,Beylikdüzü,40875,40.999785046157925,28.651365356087055
21280,Büyükşehir,Beylikdüzü,40877,41.005733678611946,28.646013392477826
26003,Cumhuriyet,Beylikdüzü,40874,41.01115976363444,28.63918320553148
20733,Dereağzı,Beylikdüzü,40870,40.973041988405846,28.616844004388707
20753,Gürpınar,Beylikdüzü,40867,40.987030695927864,28.602657512302702
63026,Kavaklı,Beylikdüzü,40873,40.97892842734572,28.639512253138367
31737,Marmara,Beylikdüzü,40893,40.979957306701806,28.671272807790505
7498,Sahil,Beylikdüzü,40876,40.9648933406658,28.643037165708705
57229,Yakuplu,Beylikdüzü,40894,40.99414218013747,28.67392373618571
2789,Bülbül,Beyoğlu,40292,41.03903557038311,28.979866564633003
2498,Camiikebir,Beyoğlu,40301,41.03301549199886,28.967180147312448
2025,Çatma Mescit,Beyoğlu,40283,41.032019522879054,28.971559462504352
3212,Cihangir,Beyoğlu,40275,41.03285252666779,28.98537398764494
12380,Fetihtepe,Beyoğlu,40262,41.04825590836285,28.956822235020713
3684,Firuzağa,Beyoğlu,40276,41.03034795693806,28.980450437644794
15236,Hacıahmet,Beyoğlu,40280,41.042150919519166,28.974193524151172
12348,Halıcıoğlu,Beyoğlu,40304,41.04833292291401,28.949237735020645
5077,İstiklal,Beyoğlu,40279,41.041629538752346,28.96937007387037
8957,Kadımehmet Efendi,Beyoğlu,40267,41.03420285092047,28.963762345034773
2346,Kalyoncu Kulluğu,Beyoğlu,40270,41.03685559492682,28.975393889730025
18800,Kaptanpaşa,Beyoğlu,40264,41.04211828533753,28.96387515824806
13602,Keçeci Piri,Beyoğlu,40302,41.04089693080336,28.95602386350924
2136,Kılıçali Paşa,Beyoğlu,40296,41.02875105507948,28.984036132383334
8394,Küçük Piyale,Beyoğlu,40268,41.03663457135074,28.967474243187255
8910,Kulaksız,Beyoğlu,40266,41.0373823665521,28.961884175998524
11185,Örnektepe,Beyoğlu,40305,41.05720157868996,28.95289065293471
15376,Piripaşa,Beyoğlu,40303,41.043966283954425,28.95089633871532
20663,Piyalepaşa,Beyoğlu,40263,41.04812486867783,28.96211255546155
3929,Sururi Mehmet Efendi,Beyoğlu,40289,41.03668130965511,28.972577989211477
12669,Sütlüce,Beyoğlu,40306,41.05185202936706,28.944832922582915
2362,Tomtom,Beyoğlu,40287,41.02978191199323,28.97768569318716
3326,Yahya Kahya,Beyoğlu,40290,41.03386262437586,28.971020523745768
5266,Yenişehir,Beyoğlu,40265,41.04235930873589,28.978240328127093
8468,19 Mayıs,Büyükçekmece,40850,41.025998581705004,28.5879651951293
8122,Alkent 2000,Büyükçekmece,40844,41.0776025153199,28.617421066110257
17102,Atatürk,Büyükçekmece,40845,41.012652314569834,28.603117504894595
4458,Bahçelievler,Büyükçekmece,40882,41.01770149282623,28.488752768887355
5517,Çakmaklı,Büyükçekmece,99334,41.05412712862072,28.62340633846912
7728,Celaliye,Büyükçekmece,40928,41.050249131734084,28.409171208641993
8404,Cumhuriyet,Büyükçekmece,40846,41.02021384591495,28.62395434910901
6388,Dizdariye,Büyükçekmece,40847,41.02206967509541,28.577539096985273
14790,Ekinoba,Büyükçekmece,40886,41.00872469404058,28.544388692404553
18432,Fatih,Büyükçekmece,40848,41.024563935907956,28.591668404552475
23034,Hürriyet,Büyükçekmece,40889,41.03138125420445,28.5438139225991
9266,Kamiloba,Büyükçekmece,40929,41.046382719472085,28.431145967439914
5981,Karaağaç,Büyükçekmece,40849,41.110397803104824,28.592083499322523
9424,Kumburgaz,Büyükçekmece,40884,41.03465816352009,28.45591149975764
20262,Mimaroba,Büyükçekmece,140376,41.004141884392986,28.53606759465204
9382,Mimarsinan,Büyükçekmece,40887,41.01661592434587,28.554816571352685
19099,Murat Çesme,Büyükçekmece,40888,41.016969070655534,28.5363772526835
22993,Pınartepe,Büyükçekmece,40868,41.00243343431108,28.609117655485697
15883,Sinanoba,Büyükçekmece,140374,40.99344587350945,28.538302652107724
15095,Türkoba,Büyükçekmece,40892,41.045910248437835,28.508239265848
16471,Ulus,Büyükçekmece,40890,41.02895435441186,28.55367132023422
2553,Yenimahalle,Büyükçekmece,40885,41.02425096276114,28.474931152688757
10046,Alemdağ,Çekmeköy,40749,41.0491330618125,29.23689037279485
20179,Aydınlar,Çekmeköy,40766,41.01781720405781,29.226540742968098
20265,Çamlık,Çekmeköy,40753,41.01630554969492,29.194357073889655
14851,Çatalmeşe,Çekmeköy,40750,41.052826773444636,29.243834224747598
17235,Cumhuriyet,Çekmeköy,40769,41.02274075315119,29.227012533893237
10321,Ekşioğlu,Çekmeköy,40751,41.030204290927564,29.2398040730913
12998,Güngören,Çekmeköy,40768,41.02614500675783,29.220696822289952
29774,Hamidiye,Çekmeköy,40754,41.025830626960136,29.187768856820732
10809,Kirazlıdere,Çekmeköy,40770,41.01924923174684,29.216795790201655
32848,Mehmet Akif,Çekmeköy,40755,41.01853857833961,29.186777644977752
32603,Merkez,Çekmeköy,40756,41.03745671304347,29.1752360278458
26750,Mimar Sinan,Çekmeköy,40757,41.03000249090332,29.179317243445087
12546,Nişantepe,Çekmeköy,40752,41.040495936215855,29.26432908389844
5702,Ömerli,Çekmeköy,40758,41.09050527957913,29.319172475409925
2887,Reşadiye,Çekmeköy,191997,41.07691372976084,29.25336199926084
10520,Soğukpınar,Çekmeköy,40767,41.02361443832965,29.234819748068336
20457,Sultançiftliği,Çekmeköy,40764,41.03046745028948,29.225332495950052
12508,Taşdelen,Çekmeköy,40765,41.03131401843881,29.231619057273875
9809,15 Temmuz,Esenler,317396,41.060821117230084,28.877097996324594
33180,Atışalanı,Esenler,40354,41.05721853899952,28.86943275887701
26141,Birlik,Esenler,40348,41.05048611023513,28.870822735583047
2108,Çifte Havuzlar,Esenler,40340,41.024660004554775,28.894285083893543
15622,Davutpaşa,Esenler,40342,41.032606307730994,28.890736379412186
40838,Fatih,Esenler,40350,41.041855737329904,28.866399387083373
30675,Fevzi Çakmak,Esenler,40345,41.04432215555071,28.88180187253062
33766,Kazım Karabekir,Esenler,40346,41.04604192739655,28.87346831860916
21571,Kemer,Esenler,40352,41.05113323123444,28.879053290401878
30677,Menderes,Esenler,40347,41.04167090196931,28.876952412504693
13184,Mimar Sinan,Esenler,40341,41.034898262058185,28.887676920456144
15704,Namık Kemal,Esenler,40344,41.0302304829694,28.89604713338802
39295,Nine Hatun,Esenler,40343,41.03567837696122,28.879513031259766
33595,Oruçreis,Esenler,40355,41.06394859194301,28.85841689692052
30909,Tuna,Esenler,40351,41.049003001398084,28.862497618836777
43080,Turgut Reis,Esenler,40353,41.060560090296015,28.863549335584178
3471,Yavuz Selim,Esenler,40349,41.035860881310434,28.891242427246333
26608,Akçaburgaz,Esenyurt,40880,41.06969109008421,28.63771084638161
