




|İstanbul(Bahçelievler/Bahçelievler Bel./Yenibosna Merkez Mah.)-40183|36763.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Zafer Mah.)-40186|78856.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 1. Kısım Mah.)-40202|1573.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 2-5-6. Kısım Mah.)-40194|14180.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 3-4-11. Kısım Mah.)-40201|7672.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 7-8-9-10. Kısım Mah.)-40196|26506.0|
|İstanbul(Bakırköy/Bakırköy Bel./Basınköy Mah.)-40200|5940.0|
|İstanbul(Bakırköy/Bakırköy Bel./Cevizlik Mah.)-40192|5108.0|
|İstanbul(Bakırköy/Bakırköy Bel./Kartaltepe Mah.)-40197|34866.0|
|İstanbul(Bakırköy/Bakırköy Bel./Osmaniye Mah.)-40188|22495.0|
|İstanbul(Bakırköy/Bakırköy Bel./Sakızağacı Mah.)-40191|8557.0|
|İstanbul(Bakırköy/Bakırköy Bel./Şenlikköy Mah.)-40199|27991.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yenimahalle Mah.)-40190|6328.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yeşilköy Mah.)-40189|24958.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yeşilyurt Mah.)-40195|8393.0|
|İstanbul(Bakırköy/Bakırköy Bel./Zeytinlik Mah.)-40193|5097.0|
|İstanbul(Bakırköy/Bakırköy Bel./Zuhuratbaba Mah.)-40198|20229.0|
|İstanbul(Başakşehir/Başakşehir Bel./Altınşehir Mah.)-40598|26909.0|
|İstanbul(Başakşehir/Başakşehir Bel./Bahçeşehir 1. Kısım Mah.)-40871|37332.0|
|İstanbul(Başakşehir/Başakşehir Bel./Bahçeşehir 2. Kısım Mah.)-40872|61602.0|
|İstanbul(Başakşehir/Başakşehir Bel./Başak Mah.)-40357|70658.0|
|İstanbul(Başakşehir/Başakşehir Bel./Başakşehir Mah.)-40581|71244.0|
|İstanbul(Başakşehir/Başakşehir Bel./Güvercintepe Mah.)-40597|76217.0|
|İstanbul(Başakşehir/Başakşehir Bel./Kayabaşı Mah.)-40583|112367.0|
|İstanbul(Başakşehir/Başakşehir Bel./Şahintepe Mah.)-40584|31567.0|
|İstanbul(Başakşehir/Başakşehir Bel./Şamlar Mah.)-191991|1248.0|
|İstanbul(Başakşehir/Başakşehir Bel./Ziya Gökalp Mah.)-40585|31210.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Altıntepsi Mah.)-40207|28855.0|
